Info 0    [15:37:39.341] Starting TS Server
Info 88   [15:40:3.107] Elapsed:: 1ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 89   [15:40:3.343] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [15:40:3.625] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true Elapsed: 281ms
Info 91   [15:40:3.625] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 92   [15:40:3.625] Structure before ensureProjectForOpenFiles:
Info 93   [15:40:3.625] Structure after ensureProjectForOpenFiles:
Info 94   [15:40:3.625] got projects updated in background, updating diagnostics for w:/SimpleServers/js/src/index.js
Info 95   [15:49:37.970] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 96   [15:49:37.987] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 16ms
Info 97   [15:49:37.987] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 98   [15:49:39.446] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [15:49:39.464] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 17ms
Info 100  [15:49:39.465] Different program with same set of files:: oldProgram.structureIsReused:: 2
